Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;55;47;309;[4, 7, 0, 2, 1, 5, 0, 6];86.18;0.0;0.18
2;59;42;309;[2, 4, 5, 4, 5, 0, 1, 4];76.1;0.0;0.31
3;61;43;302;[2, 4, 5, 4, 5, 0, 1, 4];65.9;0.0;0.36
4;61;42;304;[2, 4, 5, 4, 5, 0, 1, 4];58.85;0.0;0.36
5;61;41;302;[2, 4, 5, 4, 5, 0, 1, 4];51.8;0.0;0.36
6;61;41;304;[2, 4, 5, 4, 5, 0, 1, 4];44.26;0.0;0.36
7;59;40;305;[7, 3, 3, 7, 2, 5, 2, 0];39.49;5.0;0.41
8;53;44;307;[7, 3, 3, 7, 2, 5, 2, 0];36.04;5.8;0.34
9;52;46;307;[7, 3, 3, 7, 2, 5, 2, 0];28.65;5.73;0.35
10;47;48;310;[7, 3, 3, 7, 2, 5, 2, 0];24.68;6.69;0.3
11;45;53;304;[7, 3, 3, 7, 2, 5, 2, 0];16.22;7.06;0.22
12;30;54;316;[7, 3, 3, 7, 2, 5, 2, 0];23.33;8.85;0.33
13;25;56;322;[7, 3, 3, 7, 2, 5, 2, 0];23.6;9.08;0.24
14;24;60;318;[7, 3, 3, 7, 2, 5, 2, 0];16.25;9.13;0.25
15;16;64;322;[7, 3, 3, 7, 2, 5, 2, 0];21.25;9.96;0.38
16;12;67;322;[7, 3, 3, 7, 2, 5, 2, 0];26.67;10.33;0.25
17;11;69;322;[7, 3, 3, 7, 2, 5, 2, 0];30.0;10.4;0.27
18;8;74;319;[7, 3, 3, 7, 2, 5, 2, 0];35.0;10.7;0.38
19;8;76;318;[7, 3, 3, 7, 2, 5, 2, 0];36.25;10.7;0.38
20;8;80;312;[7, 3, 3, 7, 2, 5, 2, 0];30.0;10.7;0.38
21;6;84;311;[7, 3, 3, 7, 2, 5, 2, 0];38.33;11.02;0.5
22;6;89;305;[7, 3, 3, 7, 2, 5, 2, 0];28.33;11.02;0.5
23;5;94;302;[7, 3, 3, 7, 2, 5, 2, 0];26.0;10.92;0.6
24;4;97;301;[7, 3, 3, 7, 2, 5, 2, 0];40.0;11.12;0.75
25;3;100;299;[7, 3, 3, 7, 2, 5, 2, 0];66.67;11.33;0.67
26;3;105;292;[7, 3, 3, 7, 2, 5, 2, 0];56.67;11.33;0.67
27;3;108;290;[7, 3, 3, 7, 2, 5, 2, 0];66.67;11.33;0.67
28;3;111;287;[7, 3, 3, 7, 2, 5, 2, 0];76.67;11.33;0.67
29;3;115;283;[7, 3, 3, 7, 2, 5, 2, 0];76.67;11.33;0.67
30;3;118;281;[7, 3, 3, 7, 2, 5, 2, 0];86.67;11.33;0.67
31;3;121;278;[7, 3, 3, 7, 2, 5, 2, 0];96.67;11.33;0.67
32;3;124;275;[7, 3, 3, 7, 2, 5, 2, 0];106.67;11.33;0.67
33;3;129;268;[7, 3, 3, 7, 2, 5, 2, 0];96.67;11.33;0.67
34;3;132;266;[7, 3, 3, 7, 2, 5, 2, 0];106.67;11.33;0.67
35;3;136;261;[7, 3, 3, 7, 2, 5, 2, 0];106.67;11.33;0.67
36;3;139;259;[7, 3, 3, 7, 2, 5, 2, 0];116.67;11.33;0.67
37;3;142;257;[7, 3, 3, 7, 2, 5, 2, 0];126.67;11.33;0.67
38;3;147;250;[7, 3, 3, 7, 2, 5, 2, 0];116.67;11.33;0.67
39;3;150;249;[7, 3, 3, 7, 2, 5, 2, 0];126.67;11.33;0.67
40;3;154;244;[7, 3, 3, 7, 2, 5, 2, 0];126.67;11.33;0.67
41;3;157;242;[7, 3, 3, 7, 2, 5, 2, 0];136.67;11.33;0.67
42;3;160;238;[7, 3, 3, 7, 2, 5, 2, 0];146.67;11.33;0.67
43;3;164;234;[7, 3, 3, 7, 2, 5, 2, 0];146.67;11.33;0.67
44;3;168;230;[7, 3, 3, 7, 2, 5, 2, 0];146.67;11.33;0.67
45;3;172;226;[7, 3, 3, 7, 2, 5, 2, 0];146.67;11.33;0.67
46;3;175;224;[7, 3, 3, 7, 2, 5, 2, 0];156.67;11.33;0.67
47;3;179;218;[7, 3, 3, 7, 2, 5, 2, 0];156.67;11.33;0.67
48;3;183;215;[7, 3, 3, 7, 2, 5, 2, 0];156.67;11.33;0.67
49;2;186;213;[7, 3, 3, 7, 2, 5, 2, 0];260.0;11.92;0.5
50;2;189;209;[7, 3, 3, 7, 2, 5, 2, 0];280.0;11.92;0.5
51;2;193;206;[7, 3, 3, 7, 2, 5, 2, 0];285.0;11.92;0.5
52;2;197;201;[7, 3, 3, 7, 2, 5, 2, 0];290.0;11.92;0.5
53;2;202;196;[7, 3, 3, 7, 2, 5, 2, 0];280.0;11.92;0.5
54;2;206;193;[7, 3, 3, 7, 2, 5, 2, 0];285.0;11.92;0.5
55;2;211;187;[7, 3, 3, 7, 2, 5, 2, 0];275.0;11.92;0.5
56;2;215;184;[7, 3, 3, 7, 2, 5, 2, 0];280.0;11.92;0.5
57;2;218;182;[7, 3, 3, 7, 2, 5, 2, 0];300.0;11.92;0.5
58;2;223;175;[7, 3, 3, 7, 2, 5, 2, 0];290.0;11.92;0.5
59;2;226;173;[7, 3, 3, 7, 2, 5, 2, 0];310.0;11.92;0.5
60;2;230;169;[7, 3, 3, 7, 2, 5, 2, 0];315.0;11.92;0.5
61;2;234;165;[7, 3, 3, 7, 2, 5, 2, 0];320.0;11.92;0.5
62;2;237;163;[7, 3, 3, 7, 2, 5, 2, 0];340.0;11.92;0.5
63;2;240;160;[7, 3, 3, 7, 2, 5, 2, 0];360.0;11.92;0.5
64;2;243;157;[7, 3, 3, 7, 2, 5, 2, 0];380.0;11.92;0.5
65;2;248;150;[7, 3, 3, 7, 2, 5, 2, 0];370.0;11.92;0.5
66;2;252;147;[7, 3, 3, 7, 2, 5, 2, 0];375.0;11.92;0.5
