Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;353;54;608;[4, 5, 3, 3, 4, 2, 1, 0];82.1;0.0;0.3
2;396;54;569;[4, 5, 3, 3, 4, 2, 1, 0];70.24;0.0;0.48
3;427;52;549;[4, 5, 3, 3, 4, 2, 1, 0];62.05;0.0;0.59
4;447;54;532;[4, 5, 3, 3, 4, 2, 1, 0];55.7;0.0;0.66
5;467;58;511;[2, 6, 4, 0, 0, 5, 0, 6];49.56;0.0;0.72
6;489;60;499;[2, 6, 4, 0, 0, 5, 0, 6];43.66;0.0;0.77
7;495;58;485;[2, 6, 4, 0, 0, 5, 0, 6];39.53;0.0;0.79
8;504;58;476;[2, 6, 4, 0, 0, 5, 0, 6];35.1;0.0;0.81
9;509;58;470;[2, 6, 4, 0, 0, 5, 0, 6];30.98;0.0;0.82
10;514;57;463;[2, 6, 4, 0, 0, 5, 0, 6];26.96;0.0;0.83
11;478;58;494;[2, 6, 4, 0, 0, 5, 0, 6];25.66;9.0;0.92
12;441;51;519;[2, 6, 4, 0, 0, 5, 0, 6];25.09;9.0;1.0
13;417;53;532;[2, 6, 4, 0, 0, 5, 0, 6];23.17;9.0;1.06
14;308;54;601;[2, 6, 4, 0, 0, 5, 0, 6];30.05;10.76;0.84
15;295;57;614;[2, 6, 4, 0, 0, 5, 0, 6];28.39;10.65;0.89
16;281;56;615;[2, 6, 4, 0, 0, 5, 0, 6];27.37;10.59;0.93
17;277;56;628;[2, 6, 4, 0, 0, 5, 0, 6];25.04;10.63;0.95
18;217;62;661;[2, 6, 4, 0, 0, 5, 0, 6];30.32;11.73;0.94
19;211;66;664;[2, 6, 4, 0, 0, 5, 0, 6];28.7;11.7;0.98
20;187;73;680;[2, 6, 4, 0, 0, 5, 0, 6];30.32;12.16;0.92
21;187;79;667;[2, 6, 4, 0, 0, 5, 0, 6];27.67;12.15;0.94
22;159;79;691;[2, 6, 4, 0, 0, 5, 0, 6];32.33;12.73;1.06
23;149;83;697;[2, 6, 4, 0, 0, 5, 0, 6];33.05;12.86;1.11
24;123;90;710;[2, 6, 4, 0, 0, 5, 0, 6];39.35;13.48;1.07
25;122;97;709;[2, 6, 4, 0, 0, 5, 0, 6];37.99;13.49;1.09
26;114;95;716;[2, 6, 4, 0, 0, 5, 0, 6];42.06;13.75;1.05
27;115;97;717;[2, 6, 4, 0, 0, 5, 0, 6];41.52;13.75;1.08
28;106;102;713;[2, 6, 4, 0, 0, 5, 0, 6];44.81;14.01;1.13
29;107;104;713;[2, 6, 4, 0, 0, 5, 0, 6];44.58;14.0;1.16
30;100;111;710;[2, 6, 4, 0, 0, 5, 0, 6];47.05;14.25;1.16
31;100;113;706;[2, 6, 4, 0, 0, 5, 0, 6];47.55;14.28;1.17
32;98;115;702;[2, 6, 4, 0, 0, 5, 0, 6];49.23;14.26;1.21
33;100;121;697;[2, 6, 4, 0, 0, 5, 0, 6];47.55;14.26;1.23
34;96;124;705;[2, 6, 4, 0, 0, 5, 0, 6];50.26;14.51;1.26
35;96;128;704;[2, 6, 4, 0, 0, 5, 0, 6];50.36;14.49;1.28
36;94;131;692;[2, 6, 4, 0, 0, 5, 0, 6];52.07;14.54;1.29
37;90;137;689;[2, 6, 4, 0, 0, 5, 0, 6];54.28;14.56;1.34
38;89;141;685;[2, 6, 4, 0, 0, 5, 0, 6];55.45;14.64;1.3
39;89;144;680;[2, 6, 4, 0, 0, 5, 0, 6];56.29;14.68;1.33
40;84;146;684;[2, 6, 4, 0, 0, 5, 0, 6];61.37;14.82;1.33
41;85;148;680;[2, 6, 4, 0, 0, 5, 0, 6];62.06;14.82;1.34
42;82;152;676;[2, 6, 4, 0, 0, 5, 0, 6];65.49;14.97;1.39
43;83;154;677;[2, 6, 4, 0, 0, 5, 0, 6];66.39;15.02;1.41
44;87;155;679;[2, 6, 4, 0, 0, 5, 0, 6];65.34;15.08;1.46
45;87;154;677;[2, 6, 4, 0, 0, 5, 0, 6];67.7;15.08;1.48
46;84;157;672;[2, 6, 4, 0, 0, 5, 0, 6];71.49;15.17;1.55
47;84;163;670;[2, 6, 4, 0, 0, 5, 0, 6];71.61;15.22;1.55
48;83;169;667;[2, 6, 4, 0, 0, 5, 0, 6];72.83;15.34;1.55
49;88;164;670;[2, 6, 4, 0, 0, 5, 0, 6];72.5;15.34;1.58
50;96;168;670;[2, 6, 4, 0, 0, 5, 0, 6];66.88;15.34;1.61
51;95;168;657;[2, 6, 4, 0, 0, 5, 0, 6];69.05;15.41;1.65
52;100;170;651;[2, 6, 4, 0, 0, 5, 0, 6];66.25;15.41;1.67
53;103;171;648;[2, 6, 4, 0, 0, 5, 0, 6];65.0;15.41;1.68
54;102;172;659;[2, 6, 4, 0, 0, 5, 0, 6];66.67;15.52;1.75
55;106;167;654;[2, 6, 4, 0, 0, 5, 0, 6];66.51;15.51;1.77
56;108;172;646;[2, 6, 4, 0, 0, 5, 0, 6];64.54;15.51;1.78
