Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;55;52;304;[6, 5, 1, 7, 7, 6, 5, 5];83.45;0.0;0.18
2;56;50;298;[0, 5, 5, 2, 1, 1, 1, 4];75.89;0.0;0.21
3;57;53;294;[0, 5, 5, 2, 1, 1, 1, 4];65.79;0.0;0.25
4;57;50;296;[0, 5, 5, 2, 1, 1, 1, 4];60.0;0.0;0.25
5;59;49;297;[0, 5, 5, 2, 1, 1, 1, 4];51.36;0.0;0.31
6;59;46;301;[0, 5, 5, 2, 1, 1, 1, 4];45.42;0.0;0.31
7;55;45;304;[0, 5, 5, 2, 1, 1, 1, 4];42.73;5.0;0.33
8;54;48;306;[0, 5, 5, 2, 1, 1, 1, 4];35.19;5.33;0.33
9;53;46;304;[0, 5, 5, 2, 1, 1, 1, 4];30.0;5.29;0.34
10;47;47;312;[0, 5, 5, 2, 1, 1, 1, 4];28.09;7.14;0.28
11;45;47;313;[0, 5, 5, 2, 1, 1, 1, 4];23.56;7.35;0.24
12;30;50;322;[0, 5, 5, 2, 1, 1, 1, 4];32.33;9.06;0.37
13;27;52;326;[0, 5, 5, 2, 1, 1, 1, 4];30.37;9.31;0.3
14;27;52;325;[0, 5, 5, 2, 1, 1, 1, 4];26.67;9.19;0.37
15;19;53;332;[0, 5, 5, 2, 1, 1, 1, 4];38.42;10.07;0.53
16;17;55;330;[0, 5, 5, 2, 1, 1, 1, 4];39.41;10.26;0.53
17;17;56;327;[0, 5, 5, 2, 1, 1, 1, 4];36.47;10.26;0.53
18;14;57;330;[0, 5, 5, 2, 1, 1, 1, 4];45.0;10.67;0.43
19;13;58;330;[0, 5, 5, 2, 1, 1, 1, 4];48.46;10.82;0.38
20;13;60;330;[0, 5, 5, 2, 1, 1, 1, 4];45.38;10.82;0.38
21;10;62;329;[0, 5, 5, 2, 1, 1, 1, 4];61.0;11.34;0.5
22;9;64;328;[0, 5, 5, 2, 1, 1, 1, 4];68.89;11.52;0.44
23;9;66;327;[0, 5, 5, 2, 1, 1, 1, 4];68.89;11.52;0.44
24;9;69;323;[0, 5, 5, 2, 1, 1, 1, 4];65.56;11.52;0.44
25;8;71;322;[0, 5, 5, 2, 1, 1, 1, 4];76.25;11.56;0.5
26;7;73;320;[0, 5, 5, 2, 1, 1, 1, 4];91.43;11.61;0.57
27;7;75;319;[0, 5, 5, 2, 1, 1, 1, 4];94.29;11.61;0.57
28;7;78;315;[0, 5, 5, 2, 1, 1, 1, 4];92.86;11.61;0.57
29;7;82;311;[0, 5, 5, 2, 1, 1, 1, 4];87.14;11.61;0.57
30;7;84;309;[0, 5, 5, 2, 1, 1, 1, 4];90.0;11.61;0.57
31;7;87;306;[0, 5, 5, 2, 1, 1, 1, 4];88.57;11.61;0.57
32;7;90;303;[0, 5, 5, 2, 1, 1, 1, 4];87.14;11.61;0.57
33;7;94;299;[0, 5, 5, 2, 1, 1, 1, 4];81.43;11.61;0.57
34;7;98;296;[0, 5, 5, 2, 1, 1, 1, 4];75.71;11.61;0.57
35;7;100;294;[0, 5, 5, 2, 1, 1, 1, 4];78.57;11.61;0.57
36;7;101;293;[0, 5, 5, 2, 1, 1, 1, 4];85.71;11.61;0.57
37;7;104;290;[0, 5, 5, 2, 1, 1, 1, 4];84.29;11.61;0.57
38;7;104;290;[0, 5, 5, 2, 1, 1, 1, 4];95.71;11.61;0.57
39;7;108;288;[0, 5, 5, 2, 1, 1, 1, 4];90.0;11.61;0.57
40;7;109;287;[0, 5, 5, 2, 1, 1, 1, 4];97.14;11.61;0.57
41;7;111;282;[0, 5, 5, 2, 1, 1, 1, 4];100.0;11.61;0.57
42;7;113;282;[0, 5, 5, 2, 1, 1, 1, 4];102.86;11.61;0.57
43;7;115;281;[0, 5, 5, 2, 1, 1, 1, 4];105.71;11.61;0.57
44;7;118;277;[0, 5, 5, 2, 1, 1, 1, 4];104.29;11.61;0.57
45;6;120;276;[0, 5, 5, 2, 1, 1, 1, 4];128.33;12.18;0.67
46;7;123;274;[0, 5, 5, 2, 1, 1, 1, 4];110.0;12.18;0.86
47;8;126;271;[5, 5, 0, 2, 5, 3, 2, 0];95.0;12.18;1.0
48;7;127;271;[5, 5, 0, 2, 5, 3, 2, 0];117.14;12.78;1.14
49;7;128;267;[5, 5, 0, 2, 5, 3, 2, 0];124.29;12.78;1.14
50;6;129;268;[5, 5, 0, 2, 5, 3, 2, 0];156.67;13.39;1.0
51;6;131;265;[5, 5, 0, 2, 5, 3, 2, 0];161.67;13.39;1.0
52;6;131;266;[5, 5, 0, 2, 5, 3, 2, 0];176.67;13.39;1.0
53;6;133;263;[5, 5, 0, 2, 5, 3, 2, 0];181.67;13.39;1.0
54;7;134;264;[5, 5, 0, 2, 5, 3, 2, 0];164.29;13.39;1.14
