Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;56;14;342;[5, 0, 6, 0, 4, 4, 4, 2];80.89;0.0;0.21
2;61;16;336;[5, 0, 6, 0, 4, 4, 4, 2];66.56;0.0;0.36
3;62;15;329;[5, 0, 6, 0, 4, 4, 4, 2];58.55;0.0;0.39
4;63;19;324;[5, 0, 6, 0, 4, 4, 4, 2];48.25;0.0;0.41
5;65;23;319;[5, 0, 6, 0, 4, 4, 4, 2];37.54;0.0;0.46
6;65;25;317;[5, 0, 6, 0, 4, 4, 4, 2];28.92;0.0;0.46
7;60;28;317;[5, 0, 6, 0, 4, 4, 4, 2];23.17;5.0;0.5
8;53;26;325;[5, 0, 6, 0, 4, 4, 4, 2];21.51;5.67;0.42
9;52;30;321;[5, 0, 6, 0, 4, 4, 4, 2];12.69;5.62;0.42
10;38;31;333;[5, 0, 6, 0, 4, 4, 4, 2];14.21;7.19;0.26
11;34;34;332;[5, 0, 6, 0, 4, 4, 4, 2];8.82;7.16;0.24
12;20;38;343;[5, 0, 6, 0, 4, 4, 4, 2];13.5;8.36;0.4
13;13;40;347;[5, 0, 6, 0, 4, 4, 4, 2];23.08;8.85;0.08
14;13;42;346;[5, 0, 6, 0, 4, 4, 4, 2];20.0;8.85;0.08
