Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;238;82;191;[5, 3, 0, 7, 3, 4, 1, 0];77.9;0.0;0.32
2;278;99;169;[5, 3, 0, 7, 3, 4, 1, 0];61.69;0.0;0.56
3;305;95;155;[5, 3, 0, 7, 3, 4, 1, 0];52.43;0.0;0.69
4;317;100;142;[5, 3, 0, 7, 3, 4, 1, 0];45.08;0.0;0.74
5;326;108;118;[5, 3, 0, 7, 3, 4, 1, 0];37.98;0.0;0.77
6;333;105;125;[5, 3, 0, 7, 3, 4, 1, 0];32.16;0.0;0.8
7;318;102;148;[5, 3, 0, 7, 3, 4, 1, 0];29.59;5.0;0.88
8;261;93;167;[5, 3, 0, 7, 3, 4, 1, 0];35.48;5.82;0.85
9;249;90;163;[5, 3, 0, 7, 3, 4, 1, 0];34.7;5.79;0.9
10;197;96;190;[5, 3, 0, 7, 3, 4, 1, 0];43.91;6.74;0.97
11;193;102;190;[5, 3, 0, 7, 3, 4, 1, 0];42.59;6.74;1.05
12;182;105;198;[5, 3, 0, 7, 3, 4, 1, 0];44.4;6.96;1.16
13;160;111;211;[5, 3, 0, 7, 3, 4, 1, 0];50.75;7.45;1.26
14;158;112;212;[5, 3, 0, 7, 3, 4, 1, 0];51.71;7.59;1.28
15;151;112;215;[5, 3, 0, 7, 3, 4, 1, 0];55.43;7.8;1.36
16;151;121;207;[5, 3, 0, 7, 3, 4, 1, 0];54.5;7.92;1.42
17;150;123;202;[5, 3, 0, 7, 3, 4, 1, 0];55.47;8.16;1.41
18;142;137;203;[5, 3, 0, 7, 3, 4, 1, 0];57.32;8.3;1.49
19;134;134;202;[5, 3, 0, 7, 3, 4, 1, 0];63.96;8.5;1.6
20;136;133;201;[5, 3, 0, 7, 3, 4, 1, 0];65.0;8.55;1.63
21;133;136;201;[5, 3, 0, 7, 3, 4, 1, 0];67.89;8.59;1.71
22;136;144;193;[5, 3, 0, 7, 3, 4, 1, 0];66.47;8.65;1.73
23;135;151;191;[5, 3, 0, 7, 3, 4, 1, 0];67.63;8.74;1.79
24;142;155;196;[5, 3, 0, 7, 3, 4, 1, 0];65.07;8.77;1.83
25;143;163;183;[5, 3, 0, 7, 3, 4, 1, 0];64.48;8.96;1.83
26;145;166;177;[5, 3, 0, 7, 3, 4, 1, 0];64.14;9.05;1.88
27;149;161;176;[5, 3, 0, 7, 3, 4, 1, 0];64.16;9.14;1.88
28;149;169;173;[5, 3, 0, 7, 3, 4, 1, 0];63.56;9.23;1.89
29;152;169;171;[5, 3, 0, 7, 3, 4, 1, 0];63.03;9.32;1.89
30;156;169;166;[3, 1, 7, 6, 4, 3, 1, 0];62.18;9.37;1.94
