Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;54;51;304;[1, 6, 6, 3, 3, 4, 4, 2];83.33;0.0;0.15
2;55;46;303;[1, 6, 6, 3, 3, 4, 4, 2];75.27;0.0;0.18
3;56;43;306;[1, 6, 6, 3, 3, 4, 4, 2];64.11;0.0;0.21
4;57;43;305;[1, 7, 6, 7, 3, 0, 1, 7];56.14;2.0;0.28
5;58;38;309;[1, 7, 6, 7, 3, 0, 1, 7];47.41;2.0;0.31
6;58;40;307;[1, 7, 6, 7, 3, 0, 1, 7];38.28;3.5;0.34
7;54;39;311;[1, 7, 6, 7, 3, 0, 1, 7];35.19;4.67;0.35
8;54;36;316;[1, 7, 6, 7, 3, 0, 1, 7];26.3;4.67;0.35
9;53;34;319;[1, 7, 6, 7, 3, 0, 1, 7];21.89;5.5;0.4
10;47;35;323;[1, 7, 6, 7, 3, 0, 1, 7];17.23;7.0;0.32
11;42;37;323;[1, 7, 6, 7, 3, 0, 1, 7];11.67;7.42;0.19
12;23;36;342;[1, 7, 6, 7, 3, 0, 1, 7];24.78;9.21;0.35
13;20;38;342;[1, 7, 6, 7, 3, 0, 1, 7];24.5;9.41;0.25
14;20;37;343;[1, 7, 6, 7, 3, 0, 1, 7];20.5;9.41;0.25
15;11;42;347;[1, 7, 6, 7, 3, 0, 1, 7];35.45;9.94;0.45
16;10;45;346;[1, 7, 6, 7, 3, 0, 1, 7];36.0;9.96;0.5
17;10;48;343;[1, 7, 6, 7, 3, 0, 1, 7];26.0;9.96;0.5
18;7;51;342;[1, 7, 6, 7, 3, 0, 1, 7];40.0;10.35;0.71
19;7;54;340;[1, 7, 6, 7, 3, 0, 1, 7];38.57;10.35;0.71
20;7;58;335;[1, 7, 6, 7, 3, 0, 1, 7];32.86;10.35;0.71
21;6;61;334;[1, 7, 6, 7, 3, 0, 1, 7];30.0;10.53;0.83
22;4;65;331;[1, 7, 6, 7, 3, 0, 1, 7];47.5;10.89;0.75
23;4;69;327;[1, 7, 6, 7, 3, 0, 1, 7];45.0;10.89;0.75
24;4;74;322;[1, 7, 6, 7, 3, 0, 1, 7];35.0;10.89;0.75
25;1;78;322;[1, 7, 6, 7, 3, 0, 1, 7];190.0;11.48;1.0
26;1;82;317;[1, 7, 6, 7, 3, 0, 1, 7];150.0;11.48;1.0
27;1;87;313;[1, 7, 6, 7, 3, 0, 1, 7];140.0;11.48;1.0
28;1;91;308;[1, 7, 6, 7, 3, 0, 1, 7];100.0;11.48;1.0
29;1;95;305;[1, 7, 6, 7, 3, 0, 1, 7];120.0;11.48;1.0
