Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;53;19;334;[3, 1, 3, 4, 4, 3, 5, 0];85.47;0.0;0.11
2;59;22;331;[1, 0, 2, 6, 6, 2, 3, 5];68.81;0.0;0.31
3;64;25;325;[1, 0, 2, 6, 6, 2, 3, 5];54.22;0.0;0.44
4;64;27;317;[1, 0, 2, 6, 6, 2, 3, 5];45.63;0.0;0.44
5;64;30;313;[1, 0, 2, 6, 6, 2, 3, 5];36.56;0.0;0.44
6;64;30;311;[1, 0, 2, 6, 6, 2, 3, 5];27.97;0.0;0.44
7;61;31;318;[1, 0, 2, 6, 6, 2, 3, 5];20.82;5.0;0.46
8;51;32;322;[1, 0, 2, 6, 6, 2, 3, 5];19.22;5.77;0.35
9;45;35;321;[1, 0, 2, 6, 6, 2, 3, 5];13.11;5.68;0.4
10;32;36;334;[1, 0, 2, 6, 6, 2, 3, 5];16.25;7.03;0.16
11;31;39;332;[1, 0, 2, 6, 6, 2, 3, 5];9.03;7.06;0.16
12;11;43;347;[1, 0, 2, 6, 6, 2, 3, 5];36.36;8.55;0.45
13;8;47;345;[1, 0, 2, 6, 6, 2, 3, 5];47.5;8.73;0.25
14;8;50;342;[1, 0, 2, 6, 6, 2, 3, 5];37.5;8.73;0.25
15;5;54;342;[1, 0, 2, 6, 6, 2, 3, 5];62.0;9.0;0.4
16;5;58;337;[1, 0, 2, 6, 6, 2, 3, 5];58.0;9.0;0.4
17;5;61;334;[1, 0, 2, 6, 6, 2, 3, 5];60.0;9.0;0.4
18;5;64;331;[1, 0, 2, 6, 6, 2, 3, 5];62.0;9.0;0.4
19;5;67;331;[1, 0, 2, 6, 6, 2, 3, 5];64.0;9.0;0.4
20;5;69;326;[1, 0, 2, 6, 6, 2, 3, 5];48.0;9.0;0.4
21;2;73;326;[1, 0, 2, 6, 6, 2, 3, 5];140.0;9.53;1.0
22;2;76;322;[1, 0, 2, 6, 6, 2, 3, 5];160.0;9.53;1.0
23;2;79;321;[1, 0, 2, 6, 6, 2, 3, 5];150.0;9.53;1.0
24;2;82;318;[1, 0, 2, 6, 6, 2, 3, 5];170.0;9.53;1.0
25;2;85;315;[1, 0, 2, 6, 6, 2, 3, 5];130.0;9.53;1.0
26;2;88;312;[1, 0, 2, 6, 6, 2, 3, 5];120.0;9.53;1.0
27;2;91;308;[1, 0, 2, 6, 6, 2, 3, 5];140.0;9.53;1.0
28;2;94;306;[1, 0, 2, 6, 6, 2, 3, 5];160.0;9.53;1.0
29;2;97;303;[1, 0, 2, 6, 6, 2, 3, 5];180.0;9.53;1.0
30;2;100;300;[1, 0, 2, 6, 6, 2, 3, 5];170.0;9.53;1.0
31;2;103;297;[1, 0, 2, 6, 6, 2, 3, 5];190.0;9.53;1.0
32;2;106;294;[1, 0, 2, 6, 6, 2, 3, 5];210.0;9.53;1.0
