Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;55;47;310;[2, 0, 7, 2, 7, 2, 7, 2];86.18;0.0;0.18
2;58;49;302;[3, 7, 0, 7, 1, 4, 6, 2];73.79;0.0;0.28
3;60;47;301;[3, 7, 0, 7, 1, 4, 6, 2];65.17;0.0;0.33
4;62;43;303;[3, 7, 0, 7, 1, 4, 6, 2];57.74;0.0;0.39
5;63;45;298;[3, 7, 0, 7, 1, 4, 6, 2];48.41;0.0;0.41
6;63;44;302;[3, 7, 0, 7, 1, 4, 6, 2];41.27;0.0;0.41
7;60;44;301;[3, 7, 0, 7, 1, 4, 6, 2];36.33;5.0;0.43
8;55;43;305;[3, 7, 0, 7, 1, 4, 6, 2];33.82;5.75;0.36
9;54;42;310;[3, 7, 0, 7, 1, 4, 6, 2];28.33;5.6;0.41
10;41;44;319;[3, 7, 0, 7, 1, 4, 6, 2];32.68;7.09;0.32
11;40;46;315;[3, 7, 0, 7, 1, 4, 6, 2];26.0;7.21;0.28
12;25;46;332;[3, 7, 0, 7, 1, 4, 6, 2];43.6;8.67;0.44
13;21;48;331;[3, 7, 0, 7, 1, 4, 6, 2];48.1;8.98;0.33
14;20;49;333;[3, 7, 0, 7, 1, 4, 6, 2];47.0;9.02;0.35
15;16;53;331;[3, 7, 0, 7, 1, 4, 6, 2];53.13;9.25;0.44
16;15;57;330;[3, 7, 0, 7, 1, 4, 6, 2];49.33;9.37;0.4
17;14;59;329;[3, 7, 0, 7, 1, 4, 6, 2];50.0;9.5;0.29
18;12;62;329;[3, 7, 0, 7, 1, 4, 6, 2];55.0;9.79;0.33
19;11;63;326;[3, 7, 0, 7, 1, 4, 6, 2];61.82;9.94;0.27
20;11;64;325;[3, 7, 0, 7, 1, 4, 6, 2];62.73;9.94;0.27
21;9;66;328;[3, 7, 0, 7, 1, 4, 6, 2];78.89;10.31;0.33
22;7;69;325;[3, 7, 0, 7, 1, 4, 6, 2];102.86;10.68;0.14
23;7;72;322;[3, 7, 0, 7, 1, 4, 6, 2];101.43;10.68;0.14
24;8;74;320;[3, 7, 0, 7, 1, 4, 6, 2];91.25;10.68;0.38
25;8;77;316;[3, 7, 0, 7, 1, 4, 6, 2];88.75;10.68;0.38
26;8;79;314;[3, 7, 0, 7, 1, 4, 6, 2];90.0;10.68;0.38
27;8;83;310;[3, 7, 0, 7, 1, 4, 6, 2];83.75;10.68;0.38
28;8;85;308;[3, 7, 0, 7, 1, 4, 6, 2];85.0;10.68;0.38
29;8;87;306;[3, 7, 0, 7, 1, 4, 6, 2];86.25;10.68;0.38
30;8;88;305;[3, 7, 0, 7, 1, 4, 6, 2];91.25;10.68;0.38
31;8;91;302;[3, 7, 0, 7, 1, 4, 6, 2];88.75;10.68;0.38
32;8;94;299;[3, 7, 0, 7, 1, 4, 6, 2];86.25;10.68;0.38
33;7;96;297;[3, 7, 0, 7, 1, 4, 6, 2];102.86;10.64;0.43
34;7;101;293;[3, 7, 0, 7, 1, 4, 6, 2];92.86;10.64;0.43
35;7;102;292;[3, 7, 0, 7, 1, 4, 6, 2];100.0;10.64;0.43
36;7;104;289;[3, 7, 0, 7, 1, 4, 6, 2];102.86;10.64;0.43
37;7;103;291;[3, 7, 0, 7, 1, 4, 6, 2];118.57;10.64;0.43
38;7;104;290;[3, 7, 0, 7, 1, 4, 6, 2];125.71;10.64;0.43
39;7;106;288;[3, 7, 0, 7, 1, 4, 6, 2];128.57;10.64;0.43
40;7;109;285;[3, 7, 0, 7, 1, 4, 6, 2];127.14;10.64;0.43
41;6;111;284;[3, 7, 0, 7, 1, 4, 6, 2];155.0;11.14;0.17
42;6;114;280;[3, 7, 0, 7, 1, 4, 6, 2];155.0;11.14;0.17
43;6;118;277;[3, 7, 0, 7, 1, 4, 6, 2];150.0;11.14;0.17
44;6;122;272;[3, 7, 0, 7, 1, 4, 6, 2];145.0;11.14;0.17
45;5;124;273;[3, 7, 0, 7, 1, 4, 6, 2];184.0;11.68;0.2
46;5;127;269;[3, 7, 0, 7, 1, 4, 6, 2];186.0;11.68;0.2
