Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;53;49;305;[4, 6, 0, 5, 5, 4, 5, 2];88.3;0.0;0.11
2;54;47;302;[4, 6, 0, 5, 5, 4, 5, 2];80.74;0.0;0.15
3;54;46;304;[4, 6, 0, 5, 5, 4, 5, 2];74.07;0.0;0.15
4;58;47;307;[2, 1, 5, 4, 2, 6, 2, 2];61.72;0.0;0.28
5;60;48;302;[3, 3, 1, 5, 3, 7, 6, 6];52.0;0.0;0.33
6;60;46;301;[3, 3, 1, 5, 3, 7, 6, 6];45.5;0.0;0.33
7;57;48;300;[3, 3, 1, 5, 3, 7, 6, 6];40.0;5.0;0.35
8;55;46;302;[3, 3, 1, 5, 3, 7, 6, 6];35.64;5.4;0.33
9;55;47;303;[3, 3, 1, 5, 3, 7, 6, 6];27.82;5.4;0.33
10;41;47;313;[3, 3, 1, 5, 3, 7, 6, 6];34.39;7.21;0.2
11;39;48;315;[3, 3, 1, 5, 3, 7, 6, 6];29.74;7.0;0.21
12;26;47;329;[3, 3, 1, 5, 3, 7, 6, 6];46.54;8.53;0.31
13;25;46;332;[3, 3, 1, 5, 3, 7, 6, 6];46.0;8.63;0.28
14;25;48;329;[3, 3, 1, 5, 3, 7, 6, 6];39.6;8.63;0.28
15;19;48;334;[3, 3, 1, 5, 3, 7, 6, 6];53.16;9.41;0.37
16;19;49;334;[3, 3, 1, 5, 3, 7, 6, 6];49.47;9.41;0.37
17;19;53;331;[3, 3, 1, 5, 3, 7, 6, 6];41.05;9.41;0.37
18;13;56;331;[3, 3, 1, 5, 3, 7, 6, 6];59.23;10.38;0.54
19;13;60;330;[3, 3, 1, 5, 3, 7, 6, 6];51.54;10.38;0.54
20;13;63;324;[3, 3, 1, 5, 3, 7, 6, 6];46.15;10.38;0.54
21;11;65;326;[3, 3, 1, 5, 3, 7, 6, 6];54.55;10.78;0.64
22;10;66;324;[3, 3, 1, 5, 3, 7, 6, 6];63.0;10.98;0.6
23;10;67;324;[3, 3, 1, 5, 3, 7, 6, 6];65.0;10.98;0.6
24;10;70;320;[3, 3, 1, 5, 3, 7, 6, 6];61.0;10.98;0.6
25;8;72;320;[3, 3, 1, 5, 3, 7, 6, 6];80.0;11.48;0.5
26;7;74;320;[3, 3, 1, 5, 3, 7, 6, 6];95.71;11.74;0.29
27;7;76;318;[3, 3, 1, 5, 3, 7, 6, 6];98.57;11.74;0.29
28;7;79;315;[3, 3, 1, 5, 3, 7, 6, 6];97.14;11.74;0.29
29;7;81;312;[3, 3, 1, 5, 3, 7, 6, 6];100.0;11.74;0.29
30;7;84;310;[3, 3, 1, 5, 3, 7, 6, 6];98.57;11.74;0.29
31;6;87;308;[3, 3, 1, 5, 3, 7, 6, 6];116.67;12.07;0.17
32;6;90;304;[3, 3, 1, 5, 3, 7, 6, 6];116.67;12.07;0.17
33;6;94;300;[3, 3, 1, 5, 3, 7, 6, 6];111.67;12.07;0.17
34;6;96;298;[3, 3, 1, 5, 3, 7, 6, 6];116.67;12.07;0.17
35;6;99;295;[3, 3, 1, 5, 3, 7, 6, 6];116.67;12.07;0.17
36;6;101;295;[3, 3, 1, 5, 3, 7, 6, 6];121.67;12.07;0.17
