Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;371;23;170;[2, 5, 2, 6, 0, 1, 2, 4];75.36;0.0;0.38
2;440;14;155;[4, 5, 1, 1, 6, 1, 2, 2];56.07;0.0;0.64
3;486;10;136;[4, 5, 1, 1, 6, 1, 2, 2];42.26;0.0;0.77
4;498;8;125;[4, 5, 1, 1, 6, 1, 2, 2];31.91;0.0;0.8
5;502;8;120;[4, 5, 1, 1, 6, 1, 2, 2];22.03;0.0;0.8
6;502;7;114;[4, 5, 1, 1, 6, 1, 2, 2];12.39;0.0;0.8
7;433;10;135;[4, 5, 1, 1, 6, 1, 2, 2];6.1;5.0;0.93
8;266;9;194;[4, 5, 1, 1, 6, 1, 2, 2];6.95;5.88;0.74
9;218;10;238;[4, 5, 1, 1, 6, 1, 2, 2];1.24;5.78;0.84
10;96;10;311;[4, 5, 1, 1, 6, 1, 2, 2];7.08;6.66;0.73
11;72;13;323;[4, 5, 1, 1, 6, 1, 2, 2];3.61;6.78;0.53
12;43;17;346;[4, 5, 1, 1, 6, 1, 2, 2];3.49;7.03;0.81
13;23;19;358;[4, 5, 1, 1, 6, 1, 2, 2];9.13;7.22;0.83
14;19;23;358;[4, 5, 1, 1, 6, 1, 2, 2];4.74;7.25;0.68
15;13;28;361;[4, 5, 1, 1, 6, 1, 2, 2];1.54;7.33;1.0
16;8;32;360;[4, 5, 1, 1, 6, 1, 2, 2];2.5;7.4;1.13
17;5;36;359;[4, 5, 1, 1, 6, 1, 2, 2];6.0;7.45;1.0
18;3;41;356;[4, 5, 1, 1, 6, 1, 2, 2];6.67;7.49;0.67
19;1;46;353;[4, 5, 1, 1, 6, 1, 2, 2];30.0;7.53;0.0
20;1;51;348;[4, 5, 1, 1, 6, 1, 2, 2];20.0;7.53;0.0
21;1;56;343;[4, 5, 1, 1, 6, 1, 2, 2];10.0;7.53;0.0
22;1;60;339;[4, 5, 1, 1, 6, 1, 2, 2];30.0;7.53;0.0
23;1;65;334;[4, 5, 1, 1, 6, 1, 2, 2];20.0;7.53;0.0
24;1;69;330;[4, 5, 1, 1, 6, 1, 2, 2];40.0;7.53;0.0
