Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;50;52;298;[4, 2, 0, 7, 1, 3, 1, 2];91.8;0.0;0.0
2;54;54;301;[5, 1, 2, 2, 5, 1, 2, 7];77.41;0.0;0.15
3;57;52;298;[5, 1, 2, 2, 5, 1, 2, 7];67.54;0.0;0.25
4;61;55;296;[5, 1, 2, 2, 5, 1, 2, 7];54.75;0.0;0.36
5;62;57;291;[5, 1, 2, 2, 5, 1, 2, 7];45.48;0.0;0.39
6;62;57;287;[5, 1, 2, 2, 5, 1, 2, 7];37.9;0.0;0.39
7;62;56;287;[5, 1, 2, 2, 5, 1, 2, 7];30.81;0.0;0.39
8;59;55;289;[5, 1, 2, 2, 5, 1, 2, 7];25.93;5.0;0.41
9;56;55;292;[5, 1, 2, 2, 5, 1, 2, 7];20.54;5.0;0.43
10;39;56;308;[5, 1, 2, 2, 5, 1, 2, 7];26.92;7.61;0.23
11;37;54;311;[5, 1, 2, 2, 5, 1, 2, 7];24.59;7.6;0.19
12;25;55;322;[5, 1, 2, 2, 5, 1, 2, 7];36.0;8.7;0.28
13;23;54;326;[5, 1, 2, 2, 5, 1, 2, 7];37.83;8.87;0.22
14;23;53;325;[5, 1, 2, 2, 5, 1, 2, 7];35.65;8.87;0.22
15;19;55;327;[5, 1, 2, 2, 5, 1, 2, 7];40.0;9.35;0.26
16;19;54;328;[5, 1, 2, 2, 5, 1, 2, 7];39.47;9.35;0.26
17;18;56;327;[5, 1, 2, 2, 5, 1, 2, 7];37.22;9.45;0.28
18;14;58;331;[5, 1, 2, 2, 5, 1, 2, 7];48.57;10.22;0.5
19;14;59;329;[5, 1, 2, 2, 5, 1, 2, 7];47.14;10.22;0.5
20;14;60;327;[5, 1, 2, 2, 5, 1, 2, 7];45.71;10.22;0.5
21;13;62;326;[5, 1, 2, 2, 5, 1, 2, 7];46.92;10.42;0.54
