Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;53;47;306;[1, 3, 0, 4, 3, 5, 3, 5];89.43;0.0;0.11
2;55;48;302;[1, 3, 0, 4, 3, 5, 3, 5];77.64;0.0;0.18
3;56;47;303;[1, 3, 0, 4, 3, 5, 3, 5];69.64;0.0;0.21
4;56;48;300;[1, 3, 0, 4, 3, 5, 3, 5];61.79;0.0;0.21
5;56;48;302;[1, 3, 0, 4, 3, 5, 3, 5];54.46;0.0;0.21
6;56;51;300;[1, 3, 0, 4, 3, 5, 3, 5];45.54;0.0;0.21
7;53;52;300;[1, 3, 0, 4, 3, 5, 3, 5];40.94;5.0;0.23
8;50;54;299;[1, 3, 0, 4, 3, 5, 3, 5];35.8;5.33;0.2
9;49;56;302;[1, 3, 0, 4, 3, 5, 3, 5];27.35;5.29;0.2
10;41;55;308;[1, 3, 0, 4, 3, 5, 3, 5];29.02;7.27;0.05
11;42;57;306;[1, 3, 0, 4, 3, 5, 3, 5];20.71;7.27;0.1
12;20;56;324;[1, 3, 0, 4, 3, 5, 3, 5];50.5;9.49;0.2
13;18;58;328;[1, 3, 0, 4, 3, 5, 3, 5];45.56;9.62;0.11
14;16;58;328;[1, 3, 0, 4, 3, 5, 3, 5];55.0;9.51;0.13
15;11;57;333;[1, 3, 0, 4, 3, 5, 3, 5];85.45;10.0;0.18
16;11;58;331;[1, 3, 0, 4, 3, 5, 3, 5];80.91;10.0;0.18
17;11;61;329;[1, 3, 0, 4, 3, 5, 3, 5];76.36;10.0;0.18
18;9;64;330;[1, 3, 0, 4, 3, 5, 3, 5];85.56;10.29;0.22
19;9;66;326;[1, 3, 0, 4, 3, 5, 3, 5];78.89;10.29;0.22
20;9;68;323;[1, 3, 0, 4, 3, 5, 3, 5];78.89;10.29;0.22
21;8;71;322;[1, 3, 0, 4, 3, 5, 3, 5];87.5;10.49;0.25
22;7;75;319;[1, 3, 0, 4, 3, 5, 3, 5];95.71;10.7;0.14
23;7;78;316;[1, 3, 0, 4, 3, 5, 3, 5];85.71;10.7;0.14
24;6;80;317;[1, 3, 0, 4, 3, 5, 3, 5];106.67;10.94;0.17
25;5;83;314;[1, 3, 0, 4, 3, 5, 3, 5];120.0;11.19;0.0
26;5;86;311;[1, 3, 0, 4, 3, 5, 3, 5];122.0;11.19;0.0
27;4;89;309;[1, 3, 0, 4, 3, 5, 3, 5];160.0;11.47;0.0
28;4;92;306;[1, 3, 0, 4, 3, 5, 3, 5];165.0;11.47;0.0
29;4;95;303;[1, 3, 0, 4, 3, 5, 3, 5];170.0;11.47;0.0
30;4;98;300;[1, 3, 0, 4, 3, 5, 3, 5];175.0;11.47;0.0
31;5;102;296;[1, 3, 0, 4, 3, 5, 3, 5];138.0;11.47;0.4
32;5;105;293;[1, 3, 0, 4, 3, 5, 3, 5];140.0;11.47;0.4
33;4;108;290;[1, 3, 0, 4, 3, 5, 3, 5];182.5;11.85;0.5
34;4;111;287;[1, 3, 0, 4, 3, 5, 3, 5];187.5;11.85;0.5
