Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;3;11;11;[1, 0, 3];15.67;0.0;0.0
2;4;13;10;[7, 0, 2];11.0;0.0;0.5
3;4;14;8;[7, 0, 2];11.25;0.0;0.5
4;4;15;6;[7, 0, 2];11.5;0.0;0.5
5;4;16;7;[7, 0, 2];11.75;0.0;0.5
6;4;16;5;[7, 0, 2];13.25;0.0;0.5
7;4;18;3;[7, 0, 2];12.25;0.0;0.5
8;4;17;4;[7, 0, 2];15.0;0.0;0.5
9;4;16;7;[7, 0, 2];17.75;0.0;0.5
10;5;15;8;[7, 0, 2];16.4;0.0;0.8
11;5;13;9;[7, 0, 2];19.4;0.0;0.8
12;5;13;8;[7, 0, 2];20.4;0.0;0.8
13;6;15;8;[7, 0, 2];16.17;0.0;1.0
14;6;15;6;[7, 0, 2];15.17;0.0;1.0
15;6;12;9;[7, 0, 2];18.33;0.0;1.0
16;7;12;9;[7, 0, 2];16.29;0.0;1.14
17;8;12;8;[7, 0, 2];14.63;0.0;1.25
18;8;10;8;[7, 0, 2];16.13;0.0;1.25
19;9;10;11;[7, 0, 2];14.56;0.0;1.33
20;9;9;10;[7, 0, 2];15.22;0.0;1.33
21;9;8;10;[7, 0, 2];14.78;0.0;1.33
22;8;9;10;[7, 0, 2];16.63;11.0;1.5
