Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;52;44;310;[5, 4, 5, 7, 2, 7, 4, 6];92.88;0.0;0.08
2;56;46;308;[5, 4, 5, 7, 2, 7, 4, 6];78.57;0.0;0.21
3;58;43;304;[5, 0, 0, 7, 4, 5, 3, 4];70.34;0.0;0.28
4;59;45;300;[5, 0, 0, 7, 4, 5, 3, 4];60.85;0.0;0.31
5;61;43;303;[5, 0, 0, 7, 4, 5, 3, 4];52.62;0.0;0.36
6;61;38;306;[5, 0, 0, 7, 4, 5, 3, 4];47.54;0.0;0.36
7;59;38;307;[5, 0, 0, 7, 4, 5, 3, 4];42.03;5.0;0.37
8;52;35;315;[5, 0, 0, 7, 4, 5, 3, 4];43.65;5.89;0.27
9;50;35;316;[5, 0, 0, 7, 4, 5, 3, 4];38.8;5.73;0.28
10;46;35;324;[5, 0, 0, 7, 4, 5, 3, 4];36.3;6.33;0.24
11;43;31;327;[5, 0, 0, 7, 4, 5, 3, 4];35.81;6.67;0.16
12;30;35;336;[5, 0, 0, 7, 4, 5, 3, 4];46.67;8.48;0.23
13;29;38;338;[5, 0, 0, 7, 4, 5, 3, 4];41.38;8.7;0.24
14;29;40;334;[5, 0, 0, 7, 4, 5, 3, 4];34.48;8.7;0.24
15;23;43;334;[5, 0, 0, 7, 4, 5, 3, 4];38.7;9.51;0.3
16;22;44;337;[5, 0, 0, 7, 4, 5, 3, 4];37.27;9.78;0.32
17;23;47;336;[5, 0, 0, 7, 4, 5, 3, 4];28.7;9.78;0.39
18;20;51;332;[5, 0, 0, 7, 4, 5, 3, 4];26.0;10.27;0.45
19;17;52;332;[5, 0, 0, 7, 4, 5, 3, 4];29.41;10.77;0.35
20;16;52;332;[5, 0, 0, 7, 4, 5, 3, 4];31.25;10.83;0.38
21;13;55;332;[5, 0, 0, 7, 4, 5, 3, 4];35.38;11.33;0.38
22;10;58;333;[5, 0, 0, 7, 4, 5, 3, 4];45.0;11.63;0.3
23;9;60;332;[5, 0, 0, 7, 4, 5, 3, 4];51.11;11.51;0.33
24;8;64;329;[5, 0, 0, 7, 4, 5, 3, 4];52.5;11.71;0.38
25;8;66;326;[5, 0, 0, 7, 4, 5, 3, 4];53.75;11.71;0.38
26;8;69;324;[5, 0, 0, 7, 4, 5, 3, 4];51.25;11.71;0.38
27;8;70;323;[5, 0, 0, 7, 4, 5, 3, 4];56.25;11.71;0.38
28;7;73;322;[5, 0, 0, 7, 4, 5, 3, 4];64.29;11.98;0.29
29;7;78;315;[5, 0, 0, 7, 4, 5, 3, 4];54.29;11.98;0.29
30;7;80;313;[5, 0, 0, 7, 4, 5, 3, 4];57.14;11.98;0.29
31;7;84;309;[5, 0, 0, 7, 4, 5, 3, 4];51.43;11.98;0.29
32;7;86;308;[5, 0, 0, 7, 4, 5, 3, 4];54.29;11.98;0.29
33;7;88;306;[5, 0, 0, 7, 4, 5, 3, 4];57.14;11.98;0.29
34;7;91;302;[5, 0, 0, 7, 4, 5, 3, 4];55.71;11.98;0.29
35;7;91;304;[5, 0, 0, 7, 4, 5, 3, 4];67.14;11.98;0.29
36;7;92;301;[5, 0, 0, 7, 4, 5, 3, 4];74.29;11.98;0.29
37;7;93;302;[5, 0, 0, 7, 4, 5, 3, 4];81.43;11.98;0.29
38;7;97;296;[5, 0, 0, 7, 4, 5, 3, 4];75.71;11.98;0.29
39;7;102;293;[5, 0, 0, 7, 4, 5, 3, 4];65.71;11.98;0.29
40;6;104;292;[5, 0, 0, 7, 4, 5, 3, 4];83.33;12.45;0.17
41;6;106;288;[5, 0, 0, 7, 4, 5, 3, 4];88.33;12.45;0.17
