Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;55;47;309;[3, 0, 2, 2, 5, 4, 5, 7];86.18;0.0;0.18
2;57;44;306;[3, 0, 2, 2, 5, 4, 5, 7];77.72;0.0;0.25
3;58;46;300;[5, 5, 1, 4, 2, 4, 2, 3];68.1;0.0;0.28
4;59;44;302;[5, 5, 1, 4, 2, 4, 2, 3];60.68;0.0;0.31
5;60;45;300;[5, 5, 1, 4, 2, 4, 2, 3];51.83;0.0;0.33
6;60;41;304;[5, 5, 1, 4, 2, 4, 2, 3];46.33;0.0;0.33
7;56;41;308;[5, 5, 1, 4, 2, 4, 2, 3];43.04;5.0;0.36
8;56;36;313;[5, 5, 1, 4, 2, 4, 2, 3];38.75;5.0;0.39
9;57;35;311;[5, 5, 1, 4, 2, 4, 2, 3];31.4;5.0;0.42
10;47;35;323;[5, 5, 1, 4, 2, 4, 2, 3];33.4;7.4;0.32
11;46;38;319;[5, 5, 1, 4, 2, 4, 2, 3];25.65;7.56;0.28
12;31;38;334;[5, 5, 1, 4, 2, 4, 2, 3];37.74;9.13;0.42
13;29;38;334;[5, 5, 1, 4, 2, 4, 2, 3];36.21;9.3;0.38
14;27;39;335;[5, 5, 1, 4, 2, 4, 2, 3];34.07;9.23;0.41
15;20;39;345;[5, 5, 1, 4, 2, 4, 2, 3];48.0;9.91;0.65
16;18;42;341;[5, 5, 1, 4, 2, 4, 2, 3];47.78;10.13;0.61
17;18;41;341;[5, 5, 1, 4, 2, 4, 2, 3];47.78;10.13;0.61
18;16;41;345;[5, 5, 1, 4, 2, 4, 2, 3];54.38;10.43;0.5
19;16;42;344;[5, 5, 1, 4, 2, 4, 2, 3];51.88;10.43;0.5
20;15;45;341;[5, 5, 1, 4, 2, 4, 2, 3];50.0;10.5;0.53
21;14;49;337;[5, 5, 1, 4, 2, 4, 2, 3];46.43;10.69;0.57
22;13;53;335;[5, 5, 1, 4, 2, 4, 2, 3];43.08;10.9;0.54
23;11;56;336;[5, 5, 1, 4, 2, 4, 2, 3];48.18;11.31;0.36
24;8;58;335;[5, 5, 1, 4, 2, 4, 2, 3];71.25;11.67;0.5
25;9;62;332;[5, 5, 1, 4, 2, 4, 2, 3];57.78;11.67;0.67
26;9;63;329;[5, 5, 1, 4, 2, 4, 2, 3];61.11;11.67;0.67
27;8;66;326;[5, 5, 1, 4, 2, 4, 2, 3];67.5;11.93;0.75
28;7;68;326;[5, 5, 1, 4, 2, 4, 2, 3];81.43;12.19;0.71
29;7;71;323;[5, 5, 1, 4, 2, 4, 2, 3];80.0;12.19;0.71
30;7;73;322;[5, 5, 1, 4, 2, 4, 2, 3];82.86;12.19;0.71
31;7;76;318;[5, 5, 1, 4, 2, 4, 2, 3];81.43;12.19;0.71
32;7;80;313;[5, 5, 1, 4, 2, 4, 2, 3];75.71;12.19;0.71
33;7;82;312;[5, 5, 1, 4, 2, 4, 2, 3];78.57;12.19;0.71
34;6;84;311;[5, 5, 1, 4, 2, 4, 2, 3];98.33;12.55;0.67
35;6;85;310;[5, 5, 1, 4, 2, 4, 2, 3];108.33;12.55;0.67
36;6;87;307;[5, 5, 1, 4, 2, 4, 2, 3];113.33;12.55;0.67
37;6;90;305;[5, 5, 1, 4, 2, 4, 2, 3];113.33;12.55;0.67
38;6;92;302;[5, 5, 1, 4, 2, 4, 2, 3];118.33;12.55;0.67
39;6;94;300;[5, 5, 1, 4, 2, 4, 2, 3];123.33;12.55;0.67
40;6;98;297;[5, 5, 1, 4, 2, 4, 2, 3];118.33;12.55;0.67
41;6;100;295;[5, 5, 1, 4, 2, 4, 2, 3];123.33;12.55;0.67
42;6;102;293;[5, 5, 1, 4, 2, 4, 2, 3];128.33;12.55;0.67
43;6;105;289;[5, 5, 1, 4, 2, 4, 2, 3];128.33;12.55;0.67
44;6;107;289;[5, 5, 1, 4, 2, 4, 2, 3];133.33;12.55;0.67
45;6;112;282;[5, 5, 1, 4, 2, 4, 2, 3];123.33;12.55;0.67
46;6;113;283;[5, 5, 1, 4, 2, 4, 2, 3];133.33;12.55;0.67
47;6;114;283;[5, 5, 1, 4, 2, 4, 2, 3];143.33;12.55;0.67
48;6;118;277;[5, 5, 1, 4, 2, 4, 2, 3];138.33;12.55;0.67
49;6;121;275;[5, 5, 1, 4, 2, 4, 2, 3];138.33;12.55;0.67
50;6;125;270;[5, 5, 1, 4, 2, 4, 2, 3];133.33;12.55;0.67
