Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
2;57;80;276;[2, 0, 5, 0, 1, 3, 6, 5];74.74;0.0;0.25
3;60;90;266;[2, 0, 5, 0, 1, 3, 6, 5];66.5;0.0;0.33
4;63;95;259;[1, 6, 1, 6, 6, 6, 6, 7];60.95;0.0;0.41
5;66;101;258;[1, 6, 1, 6, 6, 6, 6, 7];55.0;0.0;0.48
6;66;107;251;[1, 6, 1, 6, 6, 6, 6, 7];51.36;0.0;0.48
7;63;111;247;[1, 6, 1, 6, 6, 6, 6, 7];51.9;5.0;0.51
8;57;117;236;[1, 6, 1, 6, 6, 6, 6, 7];55.79;5.89;0.42
9;56;123;240;[1, 6, 1, 6, 6, 6, 6, 7];54.82;5.73;0.46
10;48;130;238;[1, 6, 1, 6, 6, 6, 6, 7];64.17;6.75;0.46
11;47;134;228;[1, 6, 1, 6, 6, 6, 6, 7];66.38;6.82;0.47
12;42;140;231;[1, 6, 1, 6, 6, 6, 6, 7];75.48;7.48;0.52
13;39;147;227;[1, 6, 1, 6, 6, 6, 6, 7];82.05;7.93;0.49
14;39;156;217;[1, 6, 1, 6, 6, 6, 6, 7];81.03;8.03;0.54
15;36;159;221;[1, 6, 1, 6, 6, 6, 6, 7];93.33;8.71;0.64
16;36;167;211;[6, 7, 0, 3, 5, 3, 4, 6];93.89;8.89;0.67
17;34;170;208;[6, 7, 0, 3, 5, 3, 4, 6];105.0;9.13;0.65
18;33;173;209;[6, 7, 0, 3, 5, 3, 4, 6];113.94;9.33;0.67
19;34;180;199;[6, 7, 0, 3, 5, 3, 4, 6];113.53;9.76;0.76
20;34;189;189;[6, 7, 0, 3, 5, 3, 4, 6];113.82;9.98;0.76
21;33;194;188;[6, 7, 0, 3, 5, 3, 4, 6];121.21;10.21;0.79
22;33;198;188;[6, 7, 0, 3, 5, 3, 4, 6];126.36;10.23;0.85
23;34;202;178;[6, 7, 0, 3, 5, 3, 4, 6];127.06;10.23;0.88
24;32;211;167;[6, 7, 0, 3, 5, 3, 4, 6];135.94;10.78;0.94
25;32;211;174;[6, 7, 0, 3, 5, 3, 4, 6];144.69;10.78;0.94
26;33;213;175;[6, 7, 0, 3, 5, 3, 4, 6];147.58;10.85;1.03
27;33;220;161;[7, 6, 5, 5, 5, 3, 1, 7];150.0;11.17;1.09
28;33;223;162;[7, 6, 5, 5, 5, 3, 1, 7];156.06;11.49;1.12
29;35;225;156;[7, 6, 5, 5, 5, 3, 1, 7];153.14;11.49;1.17
30;37;227;155;[7, 6, 5, 5, 5, 3, 1, 7];150.0;11.49;1.22
31;39;227;155;[7, 6, 5, 5, 5, 3, 1, 7];148.21;11.49;1.26
32;39;225;156;[7, 6, 5, 5, 5, 3, 1, 7];155.13;11.49;1.26
33;41;232;146;[7, 6, 5, 5, 5, 3, 1, 7];147.56;11.49;1.29
34;42;235;146;[7, 6, 5, 5, 5, 3, 1, 7];146.43;11.49;1.31
35;40;233;140;[7, 6, 5, 5, 5, 3, 1, 7];160.75;11.67;1.27
36;42;236;143;[7, 6, 5, 5, 5, 3, 1, 7];155.71;11.67;1.31
37;42;236;139;[7, 6, 5, 5, 5, 3, 1, 7];160.48;11.62;1.33
38;43;232;147;[7, 6, 5, 5, 5, 3, 1, 7];163.72;11.62;1.35
39;42;229;147;[7, 6, 5, 5, 5, 3, 1, 7];174.76;11.43;1.43
40;45;230;147;[6, 7, 1, 1, 1, 6, 4, 6];166.44;11.43;1.47
41;46;227;147;[6, 7, 1, 1, 1, 6, 4, 6];168.48;11.42;1.52
42;48;225;147;[5, 4, 5, 1, 5, 6, 6, 7];165.63;11.42;1.54
43;49;223;147;[5, 4, 5, 1, 5, 6, 6, 7];165.92;11.42;1.55
44;52;219;152;[5, 4, 5, 1, 5, 6, 6, 7];160.77;11.42;1.58
45;51;216;156;[5, 4, 5, 1, 5, 6, 6, 7];167.65;11.45;1.57
46;54;213;161;[5, 4, 5, 1, 5, 6, 6, 7];162.04;11.33;1.63
47;54;211;161;[5, 4, 5, 1, 5, 6, 6, 7];165.0;11.49;1.63
48;55;207;163;[5, 4, 5, 1, 5, 6, 6, 7];165.27;11.49;1.64
49;56;202;168;[5, 4, 5, 1, 5, 6, 6, 7];166.61;11.44;1.7
50;58;198;166;[5, 4, 5, 1, 5, 6, 6, 7];163.62;11.44;1.71
51;59;197;165;[5, 4, 5, 1, 5, 6, 6, 7];162.03;11.35;1.73
52;62;197;165;[5, 4, 5, 1, 5, 6, 6, 7];154.35;11.35;1.74
53;65;197;166;[5, 4, 5, 1, 5, 6, 6, 7];147.23;11.25;1.78
54;67;197;162;[5, 4, 5, 1, 5, 6, 6, 7];142.09;11.25;1.79
55;67;193;162;[5, 4, 5, 1, 5, 6, 6, 7];143.73;11.97;1.75
56;65;186;169;[5, 4, 5, 1, 5, 6, 6, 7];151.23;11.81;1.82
57;65;189;164;[5, 4, 5, 1, 5, 6, 6, 7];149.69;11.63;1.86
58;63;183;171;[5, 4, 5, 1, 5, 6, 6, 7];157.78;12.32;1.94
59;62;183;169;[5, 4, 5, 1, 5, 6, 6, 7];160.48;12.49;1.98
60;63;184;173;[5, 4, 5, 1, 5, 6, 6, 7];157.14;12.49;1.98
61;65;187;172;[5, 4, 5, 1, 5, 6, 6, 7];151.08;13.04;2.03
62;65;186;176;[5, 4, 5, 1, 5, 6, 6, 7];152.0;12.98;2.11
63;67;182;175;[5, 4, 5, 1, 5, 6, 6, 7];149.1;12.84;2.15
64;67;170;187;[5, 4, 5, 1, 5, 6, 6, 7];153.73;12.81;2.18
65;70;172;184;[5, 4, 5, 1, 5, 6, 6, 7];145.57;12.72;2.2
66;69;161;190;[5, 4, 5, 1, 5, 6, 6, 7];151.59;12.67;2.23
67;67;163;194;[5, 4, 5, 1, 5, 6, 6, 7];155.37;12.5;2.37
68;69;157;197;[5, 4, 5, 1, 5, 6, 6, 7];152.75;12.42;2.39
69;68;153;205;[5, 4, 5, 1, 5, 6, 6, 7];156.62;12.49;2.46
70;69;148;204;[5, 4, 5, 1, 5, 6, 6, 7];155.65;12.52;2.46
71;70;146;211;[5, 4, 5, 1, 5, 6, 6, 7];153.29;12.45;2.49
